Number;Word;Freq 1;Freq 1 (per mill);Freq 2;Freq 2 (per mill);+/-;Stat 1.;Stat 2.
12898;Zuckerb„cker;137;1.4;29;0.34;+;2.03;61.52
12899;Rathª;156;1.59;33;0.39;+;2.03;70.1
12900;Verkndung;156;1.59;33;0.39;+;2.03;70.1
12901;beengt;170;1.73;36;0.42;+;2.03;76.31
12902;senkrechter;170;1.73;36;0.42;+;2.03;76.31
12903;miálichen;170;1.73;36;0.42;+;2.03;76.31
12904;Turbenthal;198;2.02;42;0.49;+;2.03;88.74
12905;Wiesen-;199;2.03;42;0.49;+;2.03;89.6
12906;kundiger;208;2.12;44;0.52;+;2.03;93.46
12907;.3;208;2.12;44;0.52;+;2.03;93.46
12908;augenblicklichen;222;2.26;47;0.55;+;2.03;99.68
12909;Ortsª;227;2.31;48;0.57;+;2.03;102.04
12910;nachl„ssigen;251;2.56;53;0.62;+;2.03;112.97
12911;Sonnenstrahlen;270;2.75;57;0.67;+;2.03;121.55
12912;erleuchten;279;2.84;59;0.69;+;2.03;125.4
12913;Huhn;279;2.84;59;0.69;+;2.03;125.4
12914;rabatt;292;2.97;62;0.73;+;2.03;130.75
12915;Konstantinopel;317;3.23;67;0.79;+;2.03;142.55
12916;dd;321;3.27;68;0.8;+;2.03;144.05
12917;Vorschule;326;3.32;69;0.81;+;2.03;146.41
12918;bewachsen;330;3.36;70;0.82;+;2.03;147.9
12919;sinnigen;345;3.51;73;0.86;+;2.03;154.98
12920;Nothwenª;378;3.85;80;0.94;+;2.03;169.77
12921;gleichm„áigen;391;3.98;83;0.98;+;2.03;175.13
12922;Autoren;396;4.03;84;0.99;+;2.03;177.48
12923;Aufl”sungen;434;4.42;92;1.08;+;2.03;194.63
12924;Bedrfª;476;4.85;101;1.19;+;2.03;213.28
12925;Freiherren;506;5.15;107;1.26;+;2.03;227.44
12926;schmuck;582;5.93;123;1.45;+;2.03;261.74
12927;trben;778;7.92;165;1.94;+;2.03;348.75
12928;Klarer;1111;11.31;236;2.78;+;2.03;497.3
12929;3l;1210;12.32;257;3.03;+;2.03;541.67
12930;Handª;1286;13.1;272;3.2;+;2.03;577.92
12931;konstanz;1680;17.11;357;4.2;+;2.03;751.73
12932;Fromme;2237;22.78;474;5.58;+;2.03;1003.63
12933;Lehr-;2297;23.39;488;5.75;+;2.03;1028.04
12934;daª;4094;41.69;866;10.2;+;2.03;1839.68
12935;Besuch;4895;49.85;1039;12.23;+;2.03;2192.67
12936;Besitzt;6148;62.61;1304;15.35;+;2.03;2755.83
12937;beitr„ge;7490;76.28;1586;18.67;+;2.03;3362.56
12938;z”glinge;13691;139.42;2891;34.04;+;2.03;6162.4
12939;Einvernahme;103;1.05;22;0.26;+;2.02;45.87
12940;Windstille;103;1.05;22;0.26;+;2.02;45.87
